t=2026-07-02T10:54:48+0530 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-07-02T10:54:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-02T10:54:48+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T10:54:48+0530 lvl=info msg="open config file" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T10:54:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T10:54:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T10:54:48+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=c7e4555a3913 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=b11041575d5e l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=702893871d95 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=2e7942be3d09 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=e84ec7f9bdb9 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=850ba55f34a9 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=07f6a1da0ee7 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=e029b07534c1 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=415af2b65577 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:22+0530 lvl=info msg="join connections" obj=join id=de76eb43d5ba l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:24+0530 lvl=info msg="join connections" obj=join id=208b22efdd71 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:50602
t=2026-07-02T10:58:25+0530 lvl=info msg="join connections" obj=join id=bc049515d049 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:50618
t=2026-07-02T10:58:30+0530 lvl=info msg="join connections" obj=join id=139ca50a67ea l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:44126
t=2026-07-02T10:58:33+0530 lvl=info msg="join connections" obj=join id=988829ef7e85 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:44128
t=2026-07-02T10:58:39+0530 lvl=info msg="join connections" obj=join id=888d1a3d59fe l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:43636
t=2026-07-02T10:58:45+0530 lvl=info msg="join connections" obj=join id=cfc6d699a3e5 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:43644
t=2026-07-02T10:58:49+0530 lvl=info msg="join connections" obj=join id=e8602683bf35 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:49528
t=2026-07-02T10:58:56+0530 lvl=info msg="join connections" obj=join id=3350e69e6862 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:49540
t=2026-07-02T10:59:05+0530 lvl=info msg="join connections" obj=join id=fd1facd2aeb3 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:60286
t=2026-07-02T10:59:13+0530 lvl=info msg="join connections" obj=join id=aac2272d97d0 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:33818
t=2026-07-02T10:59:17+0530 lvl=info msg="received stop request" obj=app stopReq="{err:<nil> restart:false}"
t=2026-07-02T10:59:17+0530 lvl=info msg="session closing" obj=tunnels.session err=nil
t=2026-07-02T10:59:17+0530 lvl=info msg="accept failed" obj=tunnels.session obj=csess id=3e2715b4ba9a err="reconnecting session closed"
